ID,Quotation Content
5:8,Universidade Federal Rural do Semi-Árido
9:6,Universidade do Estado da Bahia
14:6,Universidade de  São Paulo (USP) 
18:5,UFSC
23:7,Universidade do Estado do Rio de Janeiro
26:5,UFBA
27:6,Universidade Federal do Estado do Rio de Janeiro
32:6,Universidade Federal do Paraná
33:6,UERJ
34:8,UNEB
35:6,Universidade Federal Rural do Rio de Janeiro
36:5,Mestranda
36:6,Universidade Federal do Rio de Janeiro
39:6,Universidade Federal do Estado do Rio de Janeiro (UNIRIO)
40:6,Universidade Federal Fluminense
42:6,Universidade Federal Fluminense
45:5,UFFRJ
46:6,Universidade Federal de Juiz de Fora
47:5,Universidade Federal Fluminense
49:6,PUC-Rio
53:6,UNICAMP
54:5,Pontifícia Universidade Católica do Rio de Janeiro
57:6,Unicamp
60:6,Universidade Federal de  Pernambuco
61:6,UNEB
64:5,Universidade Federal Fluminense
65:6,Universidade Federal de Pernambuco
68:6,Universidade Federal de Mato Grosso do Sul
69:6,Universidade Federal Fluminense
70:6,Universidade Federal de Santa Catarina
71:6,História da Universidade Federal Rural do Rio de  Janeiro
72:5,Universidade Federal da Bahia – UFBA
73:5,UNEB /UFRRJ
74:6,Universidade Federal do Paraná
75:6,UFRJ
76:6,UFES
77:6,UNILAB)
78:6,UFPE
81:6,PPH/UEM – LERR/UEM
83:8,Colégio Estadual Professor Edgard Santos – Governador Mangabeira – BA e da Escola São Luís –  Muritiba- B
84:6,UFPE
85:6,UFPA
87:6,Universidade Federal de Juiz Fora
91:6,UNISINOS
99:7,Universidade de São Paulo (USP)
102:6,UFF
103:6,Universidade Federal da Bahia
106:6,Universidade Federal de Santa Catarina
108:8,Universidade de Taubaté
108:10,Universidade de Taubaté.
108:12,Universidade de Taubaté.
109:6,Instituto Federal de Educação  Ciência e Tecnologia de Pernambuco
110:7,IFBA  Campus Salvador
112:5,UDESC
115:6,New York University
116:6,Universidade Estadual de Alagoas – UNEAL
118:10,Faculdade de Educação da  Universidade Federal do Rio de Janeiro (UFRJ).
119:6,Universidade Federal Rural de Pernambuco
120:6,UFRGS
121:6,Universidade Federal de Juiz de Fora - UFJF
122:5,Universidade Federal da  Grande Dourados – PPGH/UFGD.
123:6,Universidade Estadual do Ceará
124:6,Universidade  Federal de Pernambuco
125:4,Universidade Federal do Acre
126:7,UNESP-Franca
127:6,UFPel
128:5,UFJF
129:6,Universidade Severino Sombra 
135:6,Universidade de São Paulo
137:5,Mestre em Memória Social pela Unirio  Bolsista do Museu de Astronomia e Ciências Afins
141:5,Universidade Federal de Mato Grosso
142:6,PUC-Rio e no IFRJ.
145:6,UEPG – Universidade Estadual de Ponta Grossa
146:5,Universidade do Estado do Rio de Janeiro – UERJ/CAp.
150:5,IFAL – Campus Maragogi
151:5,UFPE
152:6,Universidade Federal do Rio de Janeiro
153:5,UDESC
156:6,Universidade Federal Rural de Pernambuco – UFRPE
159:6,-UFRRJ
161:5,Universidade do Estado da Bahia
162:5,UFRPE
163:6,UFF
164:5,Universidade Estadual de Londrina
165:6,Pontifícia Universidade Católica de São Paulo – PUC
166:6,Universidade Federal Rural do Rio de Janeiro
167:5,Universidade de São Paulo
169:5,Universidade Federal do Amazonas-UFAM
172:5,Pontifícia Universidade Católica de São Paulo – PUC/SP
173:6,Pontifícia Universidade Católica de São  Paulo.
174:5,UFRGS
179:5,Universidade Federal da  Grande Dourados – PPGH/UFGD
180:6,UFSJ
184:7,Universidade Federal do Paraná
184:9,Universidade Federal do Paraná.
