,"● REC_ESPACIAL::ÁFRICA
Gr=1","● REC_ESPACIAL::ALAGOAS
Gr=2","● REC_ESPACIAL::ALAGOINHAS
Gr=2","● REC_ESPACIAL::AMARANTE
Gr=1","● REC_ESPACIAL::AMAZONAS
Gr=2","● REC_ESPACIAL::ARAGUARI
Gr=1","● REC_ESPACIAL::AREIA
Gr=1","● REC_ESPACIAL::BAGÉ
Gr=1","● REC_ESPACIAL::BAHIA
Gr=20","● REC_ESPACIAL::BAIXADA_FLUMINENSE
Gr=2","● REC_ESPACIAL::BALNEÁRIO_CAMBORIÚ
Gr=1","● REC_ESPACIAL::BARBACENA
Gr=1","● REC_ESPACIAL::BARBADOS
Gr=0","● REC_ESPACIAL::BELÉM
Gr=1","● REC_ESPACIAL::BRASIL
Gr=33","● REC_ESPACIAL::CÁCERES
Gr=1","● REC_ESPACIAL::CACHOEIRA
Gr=2","● REC_ESPACIAL::CACHOEIRA/RS
Gr=0","● REC_ESPACIAL::CAETITE
Gr=1","● REC_ESPACIAL::CAMPINAS
Gr=3","● REC_ESPACIAL::CAMPO_GRANDE
Gr=1","● REC_ESPACIAL::CARAVELAS
Gr=1","● REC_ESPACIAL::CARIBE
Gr=0","● REC_ESPACIAL::CEARÁ
Gr=2","● REC_ESPACIAL::CRICIÚMA
Gr=1","● REC_ESPACIAL::CUBA
Gr=1","● REC_ESPACIAL::CUIABÁ
Gr=3","● REC_ESPACIAL::DESTERRO
Gr=1","● REC_ESPACIAL::ESPÍRITO_SANTO
Gr=1","● REC_ESPACIAL::ESTADOS_UNIDOS
Gr=1","● REC_ESPACIAL::FAXINAL_DO_MORRO_ALTO
Gr=1","● REC_ESPACIAL::FEIRA_DE_SANTANA
Gr=2","● REC_ESPACIAL::FLORIANOPOLIS
Gr=3","● REC_ESPACIAL::GOVERNADOR_MANGABEIRA
Gr=1","● REC_ESPACIAL::HAITI
Gr=1","● REC_ESPACIAL::ILHA_DE_ITAPARICA
Gr=1","● REC_ESPACIAL::IPOJUCA
Gr=1","● REC_ESPACIAL::ITAGUAÍ
Gr=2","● REC_ESPACIAL::JACAREÍ
Gr=1","● REC_ESPACIAL::JAGUARÃO
Gr=1","● REC_ESPACIAL::JAGUARY
Gr=1","● REC_ESPACIAL::LAGUNA
Gr=1","● REC_ESPACIAL::LARANJEIRAS
Gr=1","● REC_ESPACIAL::LONDRINA
Gr=1","● REC_ESPACIAL::MANAUS
Gr=2","● REC_ESPACIAL::MARACAS
Gr=2","● REC_ESPACIAL::MARAGOGI
Gr=1","● REC_ESPACIAL::MARANHÃO
Gr=3","● REC_ESPACIAL::MATO_GROSSO
Gr=5","● REC_ESPACIAL::MATO_GROSSO_DO_SUL
Gr=1","● REC_ESPACIAL::MEARIM
Gr=1","● REC_ESPACIAL::MELO/URUGUAI
Gr=1","● REC_ESPACIAL::MINAS_GERAIS
Gr=11","● REC_ESPACIAL::NATAL
Gr=1","● REC_ESPACIAL::NAZARÉ
Gr=0","● REC_ESPACIAL::NOVA_IGUAÇÚ
Gr=1","● REC_ESPACIAL::PARÁ
Gr=1","● REC_ESPACIAL::PARAÍBA
Gr=1","● REC_ESPACIAL::PARAIBUNA
Gr=1","● REC_ESPACIAL::PARANÁ
Gr=2","● REC_ESPACIAL::PELOTAS
Gr=2","● REC_ESPACIAL::PERNAMBUCO
Gr=5","● REC_ESPACIAL::PIAUÍ
Gr=1","● REC_ESPACIAL::PIEDADE_DO_RIO_GRANDE
Gr=1","● REC_ESPACIAL::PINDAMONHANGABA
Gr=1","● REC_ESPACIAL::PINHEIRO
Gr=1","● REC_ESPACIAL::PORTO_ALEGRE
Gr=3","● REC_ESPACIAL::QUATIS
Gr=1","● REC_ESPACIAL::RECIFE
Gr=1","● REC_ESPACIAL::REDENÇÃO
Gr=2","● REC_ESPACIAL::RIO_DE_JANEIRO
Gr=19","● REC_ESPACIAL::RIO_DE_JANEIRO_ESTADO
Gr=20","● REC_ESPACIAL::RIO_G_DO_NORTE
Gr=3","● REC_ESPACIAL::RIO_G_DO_SUL
Gr=8","● REC_ESPACIAL::RIO_GRANDE
Gr=2","● REC_ESPACIAL::SALVADOR
Gr=6","● REC_ESPACIAL::SANTA CATARINA
Gr=9","● REC_ESPACIAL::SANTIAGO_DO_IGUAPE
Gr=1","● REC_ESPACIAL::SANTO_ANTONIO_DE_JESUS
Gr=1","● REC_ESPACIAL::SANTOS
Gr=1","● REC_ESPACIAL::SÃO_CARLOS
Gr=1","● REC_ESPACIAL::SAO_JOSE_DOS_CAMPOS
Gr=1","● REC_ESPACIAL::SÃO_LUÍS
Gr=1","● REC_ESPACIAL::SÃO_PAULO
Gr=9","● REC_ESPACIAL::SÃO_PAULO_ESTADO
Gr=15","● REC_ESPACIAL::SERGIPE
Gr=3","● REC_ESPACIAL::SERRINHA
Gr=1","● REC_ESPACIAL::SERTÃO_BAHIANO
Gr=1","● REC_ESPACIAL::TACUAREMBÓ/URUGUAI
Gr=1","● REC_ESPACIAL::TAUBATÉ
Gr=1","● REC_ESPACIAL::TRAIRAS
Gr=1","● REC_ESPACIAL::URUGUAI
Gr=1","● REC_ESPACIAL::VALE_DO_GUAPORÉ
Gr=1","● REC_ESPACIAL::VALE_DO_PARAÍBA
Gr=4","● REC_ESPACIAL::VITÓRIA_DA_CONQUISTA
Gr=1","● REC_ESPACIAL::VOLTA_REDONDA
Gr=1"
"● ANÁLISE_PÓS-ABOLIÇÃO::TEMA_CENTRAL
Gr=73",0,0,0,1,0,0,0,1,9,1,0,0,0,0,7,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,0,0,1,1,1,1,1,1,0,0,2,0,1,1,0,0,1,5,1,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,1,13,10,1,4,1,2,5,0,1,1,1,1,1,4,8,3,0,1,1,0,0,1,0,2,0,0
"● ANÁLISE_PÓS-ABOLIÇÃO::TEMA_INCIDENTAL
Gr=99",1,2,2,0,2,1,1,0,11,1,1,1,0,1,26,0,0,0,1,1,1,1,0,2,1,1,3,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,2,0,1,2,4,1,1,0,6,0,0,0,1,1,0,2,1,5,0,0,0,1,1,1,1,1,6,10,3,4,1,4,4,1,0,0,0,0,0,4,6,0,1,0,0,1,2,0,1,2,1,1
